gym,fighter_count,example_fighters,google_search_url,google_places_query,resolved_address,latitude,longitude,elevation_m,elevation_ft,google_place_id,lookup_status,notes
Anchorage Brazilian Jiu Jitsu,1,Uroš Medić,https://www.google.com/search?q=Anchorage+Brazilian+Jiu+Jitsu+MMA+gym+location+elevation,Anchorage Brazilian Jiu Jitsu,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Ankos MMA,1,Klaudia Sygula,https://www.google.com/search?q=Ankos+MMA+MMA+gym+location+elevation,Ankos MMA,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
"Ankos MMA - Zabikowska 66, Lubon",1,Veronica Hardy,https://www.google.com/search?q=Ankos+MMA+-+Zabikowska+66%2C+Lubon+MMA+gym+location+elevation,"Ankos MMA - Zabikowska 66, Lubon",,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
"Ankos MMA - Zapaśniczy 67, Warszawa",1,Jan Błachowicz,https://www.google.com/search?q=Ankos+MMA+-+Zapa%C5%9Bniczy+67%2C+Warszawa+MMA+gym+location+elevation,"Ankos MMA - Zapaśniczy 67, Warszawa",,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Ankos Zapasy Warszwa-Wcawarszawa,1,Daniel Omielanczuk,https://www.google.com/search?q=Ankos+Zapasy+Warszwa-Wcawarszawa+MMA+gym+location+elevation,Ankos Zapasy Warszwa-Wcawarszawa,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Apex MMA,1,Andre Ewell,https://www.google.com/search?q=Apex+MMA+MMA+gym+location+elevation,Apex MMA,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Arizona Combat Sports,1,Tyrell Fortune,https://www.google.com/search?q=Arizona+Combat+Sports+MMA+gym+location+elevation,Arizona Combat Sports,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
"Arizona combat sports/mma lab phoenix, az",1,John Moraga,https://www.google.com/search?q=Arizona+combat+sports%2Fmma+lab+phoenix%2C+az+MMA+gym+location+elevation,"Arizona combat sports/mma lab phoenix, az",,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
ARRACHION OLSZTYN,1,Joanna Jędrzejczyk,https://www.google.com/search?q=ARRACHION+OLSZTYN+MMA+gym+location+elevation,ARRACHION OLSZTYN,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Ascensino MMA,1,Raphael Assunção,https://www.google.com/search?q=Ascensino+MMA+MMA+gym+location+elevation,Ascensino MMA,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Astra Fight Team,2,Darren Till; Glaico Franca,https://www.google.com/search?q=Astra+Fight+Team+MMA+gym+location+elevation,Astra Fight Team,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
ASW (Manchester),1,Scott Askham,https://www.google.com/search?q=ASW+%28Manchester%29+MMA+gym+location+elevation,ASW (Manchester),,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Atreus MMA,1,Amir Albazi,https://www.google.com/search?q=Atreus+MMA+MMA+gym+location+elevation,Atreus MMA,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Austin Kickboxing Academy,1,Daniel Jolly,https://www.google.com/search?q=Austin+Kickboxing+Academy+MMA+gym+location+elevation,Austin Kickboxing Academy,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
"Ban Team, Vila Velebita 1G Zagreb",1,Filip Pejic,https://www.google.com/search?q=Ban+Team%2C+Vila+Velebita+1G+Zagreb+MMA+gym+location+elevation,"Ban Team, Vila Velebita 1G Zagreb",,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Bang Muay Thai,1,Trevor Peek,https://www.google.com/search?q=Bang+Muay+Thai+MMA+gym+location+elevation,Bang Muay Thai,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Bangtao Muay Thai,1,Casey O'Neill,https://www.google.com/search?q=Bangtao+Muay+Thai+MMA+gym+location+elevation,Bangtao Muay Thai,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Bangtao Muay Thai and MMA,1,Zhang Mingyang,https://www.google.com/search?q=Bangtao+Muay+Thai+and+MMA+MMA+gym+location+elevation,Bangtao Muay Thai and MMA,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
"Banks MMA - Tampa, FL",1,Geane Herrera,https://www.google.com/search?q=Banks+MMA+-+Tampa%2C+FL+MMA+gym+location+elevation,"Banks MMA - Tampa, FL",,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Beijing Black Tiger,1,Song Kenan,https://www.google.com/search?q=Beijing+Black+Tiger+MMA+gym+location+elevation,Beijing Black Tiger,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Bellmore Kickboxing (NY),2,Gian Villante; Gregor Gillespie,https://www.google.com/search?q=Bellmore+Kickboxing+%28NY%29+MMA+gym+location+elevation,Bellmore Kickboxing (NY),,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
BK MMA,1,Timmy Cuamba,https://www.google.com/search?q=BK+MMA+MMA+gym+location+elevation,BK MMA,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
BKK / Tristar,1,Arnold Allen,https://www.google.com/search?q=BKK+%2F+Tristar+MMA+gym+location+elevation,BKK / Tristar,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Black Combat,1,SuYoung You,https://www.google.com/search?q=Black+Combat+MMA+gym+location+elevation,Black Combat,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Black House MMA,7,Alan Jouban; James Moontasri; Justine Kish; Kevin Casey; Lyoto Machida,https://www.google.com/search?q=Black+House+MMA+MMA+gym+location+elevation,Black House MMA,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
"Blackzilians - Boca Raton, FL",9,Abel Trujillo; Anthony Johnson; Cezar Ferreira; Danny Roberts; Kamaru Usman,https://www.google.com/search?q=Blackzilians+-+Boca+Raton%2C+FL+MMA+gym+location+elevation,"Blackzilians - Boca Raton, FL",,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Bloodline Combat Sports,1,Rafa Garcia,https://www.google.com/search?q=Bloodline+Combat+Sports+MMA+gym+location+elevation,Bloodline Combat Sports,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Bloodline CSA,1,Lerryan Douglas,https://www.google.com/search?q=Bloodline+CSA+MMA+gym+location+elevation,Bloodline CSA,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
BMF Ranch,1,Donald Cerrone,https://www.google.com/search?q=BMF+Ranch+MMA+gym+location+elevation,BMF Ranch,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Bonebreakers Central,1,Augusto Montano,https://www.google.com/search?q=Bonebreakers+Central+MMA+gym+location+elevation,Bonebreakers Central,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Bonfim Brothers Academy,1,Gabriel Bonfim,https://www.google.com/search?q=Bonfim+Brothers+Academy+MMA+gym+location+elevation,Bonfim Brothers Academy,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Brazilian TKO,1,Brunno Ferreira,https://www.google.com/search?q=Brazilian+TKO+MMA+gym+location+elevation,Brazilian TKO,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Brazilian Top Team,2,Charles Jourdain; Jose Delano,https://www.google.com/search?q=Brazilian+Top+Team+MMA+gym+location+elevation,Brazilian Top Team,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Brazilian Warriors / Lobo Gym,1,Diego Lopes,https://www.google.com/search?q=Brazilian+Warriors+%2F+Lobo+Gym+MMA+gym+location+elevation,Brazilian Warriors / Lobo Gym,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Brett Mason's Elite Combat Academy,1,Victoria Leonardo,https://www.google.com/search?q=Brett+Mason%27s+Elite+Combat+Academy+MMA+gym+location+elevation,Brett Mason's Elite Combat Academy,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Bronx's Gold Team,1,Charles Oliveira,https://www.google.com/search?q=Bronx%27s+Gold+Team+MMA+gym+location+elevation,Bronx's Gold Team,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Brunsons MMA and Fitness,1,Allen Frye Jr.,https://www.google.com/search?q=Brunsons+MMA+and+Fitness+MMA+gym+location+elevation,Brunsons MMA and Fitness,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
BST Academy,1,Jordan Vucenic,https://www.google.com/search?q=BST+Academy+MMA+gym+location+elevation,BST Academy,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
BTT Canada,1,Patrick Cote,https://www.google.com/search?q=BTT+Canada+MMA+gym+location+elevation,BTT Canada,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Budokan Martial Arts,1,Randy Brown,https://www.google.com/search?q=Budokan+Martial+Arts+MMA+gym+location+elevation,Budokan Martial Arts,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Bulgarian Top Team,1,Oumar Sy,https://www.google.com/search?q=Bulgarian+Top+Team+MMA+gym+location+elevation,Bulgarian Top Team,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Bulldog Boxing,1,Ramon Taveras,https://www.google.com/search?q=Bulldog+Boxing+MMA+gym+location+elevation,Bulldog Boxing,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Bulldozer MMA,1,Tanner Boser,https://www.google.com/search?q=Bulldozer+MMA+MMA+gym+location+elevation,Bulldozer MMA,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Bushido Academy Avignon,1,Cyril Asker,https://www.google.com/search?q=Bushido+Academy+Avignon+MMA+gym+location+elevation,Bushido Academy Avignon,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
California Mixed Martial Arts,1,Chris Padilla,https://www.google.com/search?q=California+Mixed+Martial+Arts+MMA+gym+location+elevation,California Mixed Martial Arts,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Carioca Academy,1,Ketlen Souza,https://www.google.com/search?q=Carioca+Academy+MMA+gym+location+elevation,Carioca Academy,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Carolina Combat Sports and Fitness,1,Bryan Battle,https://www.google.com/search?q=Carolina+Combat+Sports+and+Fitness+MMA+gym+location+elevation,Carolina Combat Sports and Fitness,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Cave MMA Academy,1,Mizuto Hirota,https://www.google.com/search?q=Cave+MMA+Academy+MMA+gym+location+elevation,Cave MMA Academy,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Central Coast MMA,1,Jamie Mullarkey,https://www.google.com/search?q=Central+Coast+MMA+MMA+gym+location+elevation,Central Coast MMA,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Central Valley Combat Academy,1,Joe Soto,https://www.google.com/search?q=Central+Valley+Combat+Academy+MMA+gym+location+elevation,Central Valley Combat Academy,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Centro Deportivo Tíbet,1,Joel Álvarez,https://www.google.com/search?q=Centro+Deportivo+T%C3%ADbet+MMA+gym+location+elevation,Centro Deportivo Tíbet,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Cerrado MMA,1,Ismael Bonfim,https://www.google.com/search?q=Cerrado+MMA+MMA+gym+location+elevation,Cerrado MMA,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Cesar Gracie Fight Team,1,Nick Diaz,https://www.google.com/search?q=Cesar+Gracie+Fight+Team+MMA+gym+location+elevation,Cesar Gracie Fight Team,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Champions Creed MMA,2,Chad Anheliger; Hakeem Dawodu,https://www.google.com/search?q=Champions+Creed+MMA+MMA+gym+location+elevation,Champions Creed MMA,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
Checkmat Vancouver,1,Tristan Connelly,https://www.google.com/search?q=Checkmat+Vancouver+MMA+gym+location+elevation,Checkmat Vancouver,,,,,,,pending_google_api_lookup,Elevation intentionally left blank until Google Maps API lookup is run; avoid guessing for ambiguous gym names.
